"Totalpoints","DecathleteName","Nationality","m100","Longjump","Shotput","Highjump","m400","m110hurdles","Discus","Polevault","Javelin","m1500","yearEvent","P100m","Plj","Psp","Phj","P400m","P110h","Ppv","Pdt","Pjt","P1500","RANK"
8732,"Bryan Ezra Clay","USA",10.43,7.54,16.25,2,47.78,14.43,53.68,4.9,72,303.77,2005,992,945,867,803,920,920,880,947,920,538,1
8534,"Roman Sebrle","CZE",11.06,7.85,15.36,2.06,49.17,14.5,47.77,4.8,66.57,273.74,2005,847,1022,812,859,853,911,849,824,837,720,2
8526,"Kristjan Rahnu","EST",10.52,7.58,15.51,1.99,48.6,14.04,50.81,4.95,60.71,292.18,2005,971,955,821,794,880,969,895,887,749,606,3
8480,"Attila Zsivoczky","HUN",10.9,7.15,15.96,2.15,49.46,14.63,47.9,4.9,62.79,271.89,2005,883,850,849,944,840,895,880,827,780,732,4
8429,"Aleksandr Pogorelov","RUS",10.91,7.64,16.03,2.09,50.16,14.14,48.44,5.1,58.23,295.9,2005,881,970,853,887,807,957,941,838,711,584,5
8316,"Andre Niklaus","GER",11.04,7.2,14.24,2.03,49.42,14.78,46.13,5.3,61.74,268.93,2005,852,862,743,831,842,876,1004,790,764,752,6
8290,"Haifeng Qi","CHN",10.87,7.4,13.41,2.03,48.72,14.63,48.57,4.7,64.53,272.02,2005,890,910,692,831,875,895,819,841,806,731,7
8232,"Maurice Smith","JAM",10.71,7.22,15.8,1.98,48.54,14.17,50.62,4.3,56.76,276,2005,926,866,839,785,883,953,702,883,689,706,8
8196,"Aleksei Drozdov","RUS",11.18,7.29,15.38,2.07,50.67,14.86,49.1,4.7,63.97,278.33,2005,821,883,813,868,784,867,819,852,798,691,9
8185,"Romain Barras","FRA",11.32,7.26,14.54,2,49.24,14.44,43.95,4.9,65.84,271.52,2005,791,876,761,803,850,918,880,745,826,735,10
8149,"Mikk Pahapill","EST",11.11,7.3,13.88,2.13,50.62,14.87,48.65,4.8,65.6,290.25,2005,836,886,721,925,786,865,849,842,822,617,11
8114,"Eugene Martineau","NED",10.96,7.39,13.8,2.03,49.25,15.01,41.89,5,61.82,274.69,2005,870,908,716,831,849,848,910,703,765,714,12
8107,"Philip McMullen","USA",11.53,6.69,14.83,1.94,48.91,14.86,50.54,5.1,58.57,258.77,2005,746,741,779,749,866,867,941,882,716,820,13
8105,"Tomas Dvorak","CZE",11.22,7.25,15.92,1.95,50.24,14.56,42.75,4.7,69.11,278.12,2005,812,874,846,758,804,903,819,721,876,692,14
8090,"Aleksei Sysoyev","RUS",10.89,6.73,15.61,2.06,49.6,15.34,53.49,4.4,59.6,273.68,2005,885,750,827,859,833,809,731,943,732,721,15
8076,"Jaakko Ojaniemi","FIN",10.73,8.03,15.19,1.93,49.74,14.75,37.46,4.45,62.95,277.31,2005,922,1068,801,740,827,880,746,613,782,697,16
8051,"Aliaksandr Parkhomenka","BLR",11.26,7.14,15.98,2.01,50.32,14.92,40.94,4.8,63.75,268.99,2005,804,847,850,813,800,859,849,684,794,751,17
8025,"Rudy Bourguignon","FRA",10.91,7.28,14.3,1.89,50.31,15.03,42.55,5.2,59.7,270.19,2005,881,881,747,705,800,846,972,717,733,743,18
8023,"Hamdi Dhouibi","TUN",10.67,7.43,12.85,1.94,47.04,14.56,41.17,4.8,52.83,271.24,2005,936,918,658,749,956,903,849,688,631,736,19
7997,"Jon Ryan Harlan","USA",11.05,6.97,15.79,2.07,49.65,13.93,42.8,4.6,57.75,292.56,2005,850,807,838,868,831,984,790,722,704,603,20
7989,"Norman Mueller","GER",10.96,7.48,14.16,1.95,47.68,14.73,40.99,4.8,53.06,274.01,2005,870,930,738,758,925,882,849,685,634,718,21
7976,"Paul Terek","USA",11.17,7.05,14.97,2,49.05,15.21,44.22,5.2,54.05,279.92,2005,823,826,788,803,859,824,972,751,649,681,22
7975,"Roland Schwarzl","AUT",11.09,7.44,14.48,1.97,50.28,14.7,46.15,4.8,54.71,277.96,2005,841,920,758,776,802,886,849,791,659,693,23
7950,"Francois Gourmet","BEL",10.61,7.19,14.16,1.89,47.77,14.81,37.37,4.8,56.31,267.02,2005,949,859,738,705,920,873,849,611,682,764,24
7920,"Lars Albert","GER",11.05,7.53,15.36,1.94,51.81,15.12,45.71,4.7,63.7,292.36,2005,850,942,812,749,733,835,819,781,794,605,25
