"correct","wrong","V3","V4","V5","V6","V7","unanswered","V9","V10","RANK"
48,0,31,5,27,0,1,2,5,4,1
47,3,8,4,47,1,1,0,4,1,2
46,2,47,40,24,1,1,2,4,4,3
42,0,6,5,22,0,1,8,2,3,4
43,7,17,48,6,1,0,0,4,4,5
41,4,45,3,45,0,1,5,5,3,6
39,0,49,22,2,0,0,11,4,2,7
38,2,28,6,14,0,1,10,5,4,8
39,11,28,29,2,1,1,0,5,5,9
37,7,8,32,27,0,1,6,5,1,10
32,0,37,19,40,0,0,18,5,2,11
32,5,8,42,21,1,0,13,1,3,12
31,3,3,31,15,0,0,16,2,4,13
31,5,1,32,10,1,1,14,3,1,14
27,0,21,18,45,0,0,23,3,1,15
30,13,15,50,42,0,0,7,4,5,16
27,6,2,8,9,1,0,17,3,3,17
25,6,10,23,10,1,1,19,2,5,18
23,1,25,3,41,1,1,26,3,5,19
27,16,27,12,25,1,1,7,3,4,20
25,13,33,11,9,0,0,12,3,1,21
22,5,17,15,1,1,1,23,4,2,22
27,21,48,23,25,1,1,2,3,4,23
19,2,4,29,49,1,1,29,1,2,24
21,9,31,5,6,1,1,20,3,2,25
21,10,7,19,9,1,1,19,2,5,26
21,11,2,19,41,1,1,18,5,3,27
19,8,20,41,44,0,1,23,4,1,28
16,0,13,42,41,0,0,34,1,3,29
14,0,34,49,31,1,0,36,1,4,30
16,9,47,27,27,0,0,25,5,2,31
20,25,2,7,50,0,1,5,2,5,32
21,28,41,27,21,1,1,1,2,4,33
16,15,17,36,45,1,1,19,1,2,34
14,9,27,21,15,0,1,27,5,3,35
19,27,1,3,8,0,0,4,1,5,36
17,24,2,37,28,1,0,9,4,2,37
14,19,12,36,23,0,0,17,1,2,38
12,20,7,32,13,1,1,18,5,1,39
15,33,27,48,3,1,0,2,2,1,40
8,15,10,50,2,0,1,27,1,2,41
5,8,20,32,38,0,1,37,3,2,42
10,24,12,5,23,1,1,16,3,5,43
5,13,13,12,39,0,0,32,5,4,44
7,21,39,5,46,0,0,22,1,1,45
2,12,34,50,47,0,1,36,4,5,46
5,35,29,23,22,1,0,10,4,5,47
2,26,29,50,40,1,0,22,3,4,48
3,45,17,40,22,1,1,2,3,1,49
3,45,12,10,42,1,0,2,2,3,50
